-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            _RasterizeGaussiansBackward         0.39%        7.462s         1.73%       32.888s       1.096ms      473.880s        47.25%      492.853s      16.428ms           0 b           0 b    9080.77 Gb    -763.92 Gb         30000  
void renderCUDA<3u>(uint2 const*, unsigned int const...         0.00%       0.000us         0.00%       0.000us       0.000us      454.340s        45.30%      454.340s      15.145ms           0 b           0 b           0 b           0 b         30000  
                                       cudaLaunchKernel         2.55%       48.586s         2.59%       49.271s       7.632us       76.093s         7.59%       76.944s      11.918us      -4.71 Mb      -4.73 Mb     573.84 Gb     382.62 Gb       6456159  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       65.107s         6.49%       65.107s     434.046us           0 b           0 b           0 b           0 b        150000  
                                aten::_conv_depthwise2d         0.11%        2.135s         0.18%        3.396s      22.643us       65.103s         6.49%       65.255s     435.031us           0 b           0 b    2908.58 Gb     -28.97 Gb        150000  
                                    _RasterizeGaussians        10.75%      204.861s        11.65%      221.933s       7.395ms       59.351s         5.92%       79.238s       2.640ms           0 b           0 b    7690.28 Gb    -149.41 Gb         30010  
                                              aten::cat         0.57%       10.833s         0.57%       10.917s     308.938us       50.207s         5.01%       50.396s       1.426ms           0 b           0 b    6344.81 Gb    6284.76 Gb         35338  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       50.078s         4.99%       50.078s       1.578ms           0 b           0 b           0 b           0 b         31738  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       42.658s         4.25%       42.658s     181.931us           0 b           0 b           0 b           0 b        234474  
